"country","countryCode","date","isVerified","position","productAsin","ratingScore","reviewDescription","reviewImages/0","reviewImages/1","reviewImages/2","reviewReaction","reviewTitle","reviewUrl","reviewedIn","variant"
"United States","🇺🇸","2023-03-05","true","1","B095Z5PKDJ","5","Great product for my sensitive teeth. Really does help. But much on the flavor side. I wish it had a lite version.",,,,"","Dentist recommended","https://www.amazon.com/gp/customer-reviews/R2TGYUJI00VIZK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on March 5, 2023",""
"United States","🇺🇸","2023-02-23","true","2","B095Z5PKDJ","5","Since the dentist recommended to my Mom, I and my adult sons have been using this product, live you mouth with fresh and healthy feeling",,,,"One person found this helpful","The best for your teeth","https://www.amazon.com/gp/customer-reviews/R3J9BRZODA0BVW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on February 23, 2023",""
"United States","🇺🇸","2023-02-19","true","3","B095Z5PKDJ","5","Great tooth paste",,,,"","Sensodyn tooth paste","https://www.amazon.com/gp/customer-reviews/RTUIXHDPQVBD5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on February 19, 2023",""
"United States","🇺🇸","2023-02-08","true","4","B095Z5PKDJ","5","This is great toothpaste great for sensitive teeth!!!!",,,,"One person found this helpful","Great price","https://www.amazon.com/gp/customer-reviews/RWNE474MSCVE1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on February 8, 2023",""
"United States","🇺🇸","2023-01-05","true","5","B095Z5PKDJ","4","Seems to help gum sensitivity but is a little expensive in my opinion.",,,,"3 people found this helpful","Helps with sensitivity.","https://www.amazon.com/gp/customer-reviews/RO3VBCNMU7KIO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on January 5, 2023",""
"United States","🇺🇸","2023-02-07","true","6","B095Z5PKDJ","5","Best toothpaste.  Ever",,,,"One person found this helpful","Sensitive teath","https://www.amazon.com/gp/customer-reviews/R336E3HOCP5QEY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on February 7, 2023",""
"United States","🇺🇸","2022-04-22","true","7","B095Z5PKDJ","5","I originally got a four pack of these in 2021 for free. After sharing half of it with my friend and trying it for a year, I bought another 4 pack when I ran out. The newest 4 pack I just bought has an expiry date of 9/2023, so I have about a year and a half to use them up. Each tube is sealed with foil until you’re ready yo use it.I’ve been using sensodyn for over a decade now because my dentist had recommended it. Over the years, I’ve tried many different varieties and flavors. This tooth paste works well in keeping my teeth pain free for the most part, as long as I don’t overdo it with eating a ton of acidic foods. So daily bowl of fruit or occasional glass of white wine no longer cause tooth aches.The one big difference between this and the other sensodyn varieties I’ve tried in the past is the foam texture. It’s not super foaming like some gel toothpastes, and actually almost coagulates into little wisps of more solid texture as you brush, which I thought was weird and took a little time to get used to. However, this cleans pretty well combined with my electric toothbrush and I’ve been very happy with it overall, as evidenced by my repurchase.","https://m.media-amazon.com/images/I/515RL2ufFOL._SY88.jpg","https://m.media-amazon.com/images/I/61tb5hTI96L._SY88.jpg",,"14 people found this helpful","Toothpaste for sensitive teeth","https://www.amazon.com/gp/customer-reviews/R21BIUB65IUGRS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on April 22, 2022",""
"United States","🇺🇸","2022-11-15","true","8","B095Z5PKDJ","4","Sensodyne toothpaste, OK but quick release is better! I figured stand within the Sensodyne family that they’re all the same but they’re not. The quick release action for very sensitive gum lines is better than this one, this one also has a funky flavor to it.",,,,"2 people found this helpful","Sensodyne toothpaste, OK but quick release is better!","https://www.amazon.com/gp/customer-reviews/R358G12FPV6PJY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on November 15, 2022",""
"United States","🇺🇸","2022-12-23","true","9","B095Z5PKDJ","4","Good taste",,,,"","Whitens teeth","https://www.amazon.com/gp/customer-reviews/RLHGW1L4W6R8I/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on December 23, 2022",""
"United States","🇺🇸","2022-12-02","true","10","B095Z5PKDJ","5","I’ve suffered from bleeding gums for almost my entire life. No matter how well I take care of my teeth and gums (and I’m an oral hygiene fanatic), my gums would bleed whenever I brushed and flossed. I’ve tried several recommended gum toothpastes but none worked. I’ve always liked Sensodyne so when I saw they had a gum sensitivity option I figured I’d give it a go. Stopped my persistent gum bleeding within a week. Like a miracle!",,,,"9 people found this helpful","Helps with bleeding gums when nothing else will…","https://www.amazon.com/gp/customer-reviews/R2KBDKVJL7BSIP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on December 2, 2022",""
"United States","🇺🇸","2022-08-11","false","111","B095Z5PKDJ","5","I buy this anyway, so definitely snapped this bundle up on prime day.  Taste is nice, nice gentle mint.not sure if it actually dose any whitening. But, I don't like any toothpaste dose.",,,,"","Prime bargains","https://www.amazon.com/gp/customer-reviews/R1U1D2EVIKEYDO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on August 11, 2022",""
"United States","🇺🇸","2022-08-10","false","112","B095Z5PKDJ","5","Liked the economy of buying in bulk.",,,,"","Important for anyone with sensitive teeth.","https://www.amazon.com/gp/customer-reviews/R1320BIZK7G169/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on August 10, 2022",""
"United States","🇺🇸","2022-08-14","false","113","B095Z5PKDJ","5","I like the flavor and what it does.",,,,"","Love this toothpaste","https://www.amazon.com/gp/customer-reviews/R2HB5PHIYY3NLV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on August 14, 2022",""
"United States","🇺🇸","2022-08-13","false","114","B095Z5PKDJ","5","Have always loved this toothpaste and it was a great bargain!!!",,,,"","Great toothpaste and great price!","https://www.amazon.com/gp/customer-reviews/R2RVBVY6SZIB9N/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on August 13, 2022",""
"United States","🇺🇸","2022-08-14","false","115","B095Z5PKDJ","5","Awesome price I got on Prime Deal days.",,,,"","Great Deal!","https://www.amazon.com/gp/customer-reviews/RPI1D73JJR6TT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on August 14, 2022",""
"United States","🇺🇸","2022-08-13","false","116","B095Z5PKDJ","5","Best Buy for the money.",,,,"","Good Value for the price","https://www.amazon.com/gp/customer-reviews/R3VNXSKQEG2ATZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on August 13, 2022",""
"United States","🇺🇸","2022-08-02","false","117","B095Z5PKDJ","5","dentist referred this product and have used it from then on",,,,"","worth the price","https://www.amazon.com/gp/customer-reviews/R2X8G3HPS4PMGD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on August 2, 2022",""
"United States","🇺🇸","2022-07-22","false","118","B095Z5PKDJ","5","Got these from a deal on Prime Day and was glad i did, all 4 for $15! My teeth are sensitive so I feel like this toothpaste works best for me. The taste isn't overpowering and different than any other brand I've used.",,,,"","My favorite toothpaste","https://www.amazon.com/gp/customer-reviews/R311FDLBXX9FU1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on July 22, 2022",""
"United States","🇺🇸","2022-07-27","false","119","B095Z5PKDJ","5","I have been using Sensodyne toothpaste and find it to help with my sensitive teeth.",,,,"","Great Product","https://www.amazon.com/gp/customer-reviews/RD63Y5GQV9ZW2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on July 27, 2022",""
"United States","🇺🇸","2022-07-15","false","120","B095Z5PKDJ","5","I love this toothpaste. It works great for me",,,,"","Toothpaste","https://www.amazon.com/gp/customer-reviews/R18FPPY5ZJ9A3I/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on July 15, 2022",""
"United States",,"2022-07-15","false","101","B095Z5PKDJ","4","I like sensodyne toothpaste, but it’s expensive for what it is. I got a good deal which made it about the same price that you can get regular toothpaste for, but I probably wouldn’t buy it at its normal price.These tubes were even smaller than my previous Sensodyne tubes (3.4 oz vs 4 oz). They don’t last very long",,,,"","Good but expensive at normal prices","https://www.amazon.com/gp/customer-reviews/R2TY64I6JARGS3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on July 15, 2022",""
"United States",,"2022-10-04","false","102","B095Z5PKDJ","5","Love this toothpaste. Does everything sensodyne does. Cleans and desenitizes ur teeth.  But the bonus is it’s also wonderful for ur Hume. A win win",,,,"One person found this helpful","Excellent","https://www.amazon.com/gp/customer-reviews/R22FT96UXCVIAX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on October 4, 2022",""
"United States",,"2022-03-12","true","103","B095Z5PKDJ","1","It has no taste.. print on tube look and taste like it fake.",,,,"One person found this helpful","Looks and taste fake","https://www.amazon.com/gp/customer-reviews/R1WLH82NXRVU88/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on March 12, 2022",""
