"country","countryCode","date","isVerified","position","productAsin","ratingScore","reviewDescription","reviewReaction","reviewTitle","reviewUrl","reviewedIn","variant"
"United States","🇺🇸","2023-04-12","true","1","B01LX217F9","5","Been using this product for a little over a year. It's helped tremendously with tooth cold sensitivity. The dentist claims he sees a difference in my gum health (with different flossing and water pic routines added)","One person found this helpful","Really helps with temp sensitivity","https://www.amazon.com/gp/customer-reviews/R1XST421PT0NCM?ASIN=B01LX217F9","Reviewed in the United States 🇺🇸 on April 12, 2023","Size: 2 Pack"
"United States","🇺🇸","2023-04-20","true","2","B01LX217F9","5","I have used this brand of toothpaste for years! It has helped with my teeth sensitivity.","","Helps with teeth  sensitivity","https://www.amazon.com/gp/customer-reviews/R3DYJAIEE2W2XP?ASIN=B01LX217F9","Reviewed in the United States 🇺🇸 on April 20, 2023","Size: 2 Pack"
"United States","🇺🇸","2023-04-17","true","3","B01LX217F9","4","I found these to be a thinner toothpaste than the sensodyne. I’m hoping it makes a difference for hardening. Sensodyne is the only brand I use and has worked great with helping my sensitive teeth to not be sensitive anymore. Great brand.","","It’s okay","https://www.amazon.com/gp/customer-reviews/R1IQRBIU9GLG0O?ASIN=B01LX217F9","Reviewed in the United States 🇺🇸 on April 17, 2023","Size: 2 Pack"
"United States","🇺🇸","2023-04-04","true","4","B01LX217F9","5","I'd been cursed with weak enamel since I was like 12. This is a staple for me and I'm glad I can order a pack. Not so sure how the whitening portion does, but it does what Sensodine normally does.","One person found this helpful","Soothing","https://www.amazon.com/gp/customer-reviews/R1PYVPK0WJSF92?ASIN=B01LX217F9","Reviewed in the United States 🇺🇸 on April 4, 2023","Size: 2 Pack"
"United States","🇺🇸","2023-04-22","true","5","B01LX217F9","5","Freshness","","Great tooth paste","https://www.amazon.com/gp/customer-reviews/R37YKL5J5SXIK4?ASIN=B01LX217F9","Reviewed in the United States 🇺🇸 on April 22, 2023","Size: 2 Pack"
"United States","🇺🇸","2023-04-19","true","6","B01LX217F9","4","Seems to be helping, will update review down the road after a year.","","It helps with the sensitivity of my teeth.","https://www.amazon.com/gp/customer-reviews/R1SUZY587Z8GAR?ASIN=B01LX217F9","Reviewed in the United States 🇺🇸 on April 19, 2023","Size: 2 Pack"
"United States","🇺🇸","2023-03-03","true","7","B01LX217F9","5","We absolutely love this particular Sensodyne toothpaste. We have it on a subscription so that we never reach down under the cabinet for more — only to find NONE THERE!  It’s so convenient to add to my subscriptions and NEVER run out again. One item permanently checked off of my list to keep up with and replenish!!!","3 people found this helpful","NEVER run out of TOOTHPASTE again!!!","https://www.amazon.com/gp/customer-reviews/R3JKMIYK7NE6GO?ASIN=B01LX217F9","Reviewed in the United States 🇺🇸 on March 3, 2023","Size: 2 Pack"
"United States","🇺🇸","2023-03-07","true","8","B01LX217F9","5","I love this brand toothpaste. I grind my teeth in my sleep, so my teeth are extremely sensitive. This toothpaste is a amazing! It makes me teeth feel soooo much better!! Recommend this toothpaste to anyone!","3 people found this helpful","Best toothpaste","https://www.amazon.com/gp/customer-reviews/RLJ3AXD241258?ASIN=B01LX217F9","Reviewed in the United States 🇺🇸 on March 7, 2023","Size: 2 Pack"
"United States","🇺🇸","2023-03-13","true","9","B01LX217F9","5","My kids love this toothpaste, and I feel like it protects their teeth from cavities and keeps them nice and white.","2 people found this helpful","My kids fav toothpaste","https://www.amazon.com/gp/customer-reviews/R1CUADVZM547T5?ASIN=B01LX217F9","Reviewed in the United States 🇺🇸 on March 13, 2023","Size: 2 Pack"
"United States","🇺🇸","2023-03-18","true","10","B01LX217F9","5","Been using for a long time and like it","","Easy to use","https://www.amazon.com/gp/customer-reviews/R1Q2UBO4EVLS7P?ASIN=B01LX217F9","Reviewed in the United States 🇺🇸 on March 18, 2023","Size: 2 Pack"
