"country","countryCode","date","isVerified","position","productAsin","ratingScore","reviewDescription","reviewImages/0","reviewReaction","reviewTitle","reviewUrl","reviewedIn","variant"
"United States",,"2023-04-09","true","1","B0762LYF5D","5","Ever since adding this toothpaste to my daily routine I've become one of my dentists favourite patients. I used to have sensitive teeth before brushing with this toothpaste regularlyWith a routine of waterfloss, brush, string floss, and then mouthwash twice daily you'll quickly become your dentists best friend","https://m.media-amazon.com/images/I/71LRRm4THjL._SY88.jpg","","My dentist loves me","https://www.amazon.com/gp/customer-reviews/RT5JA3CNTTOE2?ASIN=B0762LYF5D","Reviewed in the United States on April 9, 2023","Size: 4 Ounce (Pack of 3)"
"United States",,"2023-04-08","true","2","B0762LYF5D","5","Kind of hard to gush over toothpaste, but AMAZON furnishes the availability, and the brand does what it's advertised to do. The service via AMAZON is superb, as always. Well pleased.",,"","Does the job ...","https://www.amazon.com/gp/customer-reviews/R2TLXT13LSNVRY?ASIN=B0762LYF5D","Reviewed in the United States on April 8, 2023","Size: 4 Ounce (Pack of 3)"
"United States",,"2023-04-16","true","3","B0762LYF5D","5","Good value",,"","Good value","https://www.amazon.com/gp/customer-reviews/R2OOXQOY0BN4VW?ASIN=B0762LYF5D","Reviewed in the United States on April 16, 2023","Size: 4 Ounce (Pack of 3)"
"United States",,"2023-04-08","true","4","B0762LYF5D","5","After use this toothpaste i can eat cool food and hot food. Nice",,"","i like","https://www.amazon.com/gp/customer-reviews/R2MA0F1IG2F71X?ASIN=B0762LYF5D","Reviewed in the United States on April 8, 2023","Size: 4 Ounce (Pack of 3)"
"United States",,"2023-03-28","true","5","B0762LYF5D","5","Running out of toothpaste? I ordered more and worried about shipping time. Came the next day with good packaging... pleased and would recommend this to others.",,"3 people found this helpful","Fast and Good!","https://www.amazon.com/gp/customer-reviews/R6IUXU33OWS0I?ASIN=B0762LYF5D","Reviewed in the United States on March 28, 2023","Size: 4 Ounce (Pack of 3)"
"United States",,"2023-04-04","true","6","B0762LYF5D","4","I feel fresh after using Sensodyne, I have been using it for years now. It feels clean.",,"One person found this helpful","I love Sensodyne","https://www.amazon.com/gp/customer-reviews/R2QYUQMAJACE23?ASIN=B0762LYF5D","Reviewed in the United States on April 4, 2023","Size: 4 Ounce (Pack of 3)"
"United States",,"2023-03-25","true","7","B0762LYF5D","5","This toothpaste has good whitening capabilities along with being a good toothpaste. I drink lots of coffee and tea so I need both.",,"2 people found this helpful","I use this product twice a day.","https://www.amazon.com/gp/customer-reviews/R31QBPG9XXAGIX?ASIN=B0762LYF5D","Reviewed in the United States on March 25, 2023","Size: 4 Ounce (Pack of 3)"
"United States",,"2023-03-28","true","8","B0762LYF5D","5","I was having pain in upper right set of teeth, and it subsided after using this",,"2 people found this helpful","Did the job","https://www.amazon.com/gp/customer-reviews/RAGB365D263L1?ASIN=B0762LYF5D","Reviewed in the United States on March 28, 2023","Size: 4 Ounce (Pack of 3)"
"United States",,"2023-04-01","true","9","B0762LYF5D","5","Fast shopping love the product great seller",,"One person found this helpful","Helps I have sensitive teeth","https://www.amazon.com/gp/customer-reviews/RBQFIGSEY5ECB?ASIN=B0762LYF5D","Reviewed in the United States on April 1, 2023","Size: 4 Ounce (Pack of 3)"
"United States",,"2023-03-24","true","10","B0762LYF5D","5","If you have sensitive teeth this is a must have. It really works and whitens.",,"2 people found this helpful","Best toothpaste","https://www.amazon.com/gp/customer-reviews/R1MQ9C8J5AXOSY?ASIN=B0762LYF5D","Reviewed in the United States on March 24, 2023","Size: 4 Ounce (Pack of 3)"
