"country","countryCode","date","isVerified","position","productAsin","ratingScore","reviewDescription","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewReaction","reviewTitle","reviewUrl","reviewedIn","variant"
"United States",,"2023-03-05","true","1","B095Z5PKDJ","5","Great product for my sensitive teeth. Really does help. But much on the flavor side. I wish it had a lite version.",,,,,"","Dentist recommended","https://www.amazon.com/gp/customer-reviews/R2TGYUJI00VIZK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on March 5, 2023",""
"United States",,"2023-02-23","true","2","B095Z5PKDJ","5","Since the dentist recommended to my Mom, I and my adult sons have been using this product, live you mouth with fresh and healthy feeling",,,,,"One person found this helpful","The best for your teeth","https://www.amazon.com/gp/customer-reviews/R3J9BRZODA0BVW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on February 23, 2023",""
"United States",,"2023-02-19","true","3","B095Z5PKDJ","5","Great tooth paste",,,,,"","Sensodyn tooth paste","https://www.amazon.com/gp/customer-reviews/RTUIXHDPQVBD5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on February 19, 2023",""
"United States",,"2023-02-08","true","4","B095Z5PKDJ","5","This is great toothpaste great for sensitive teeth!!!!",,,,,"One person found this helpful","Great price","https://www.amazon.com/gp/customer-reviews/RWNE474MSCVE1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on February 8, 2023",""
"United States",,"2023-01-05","true","5","B095Z5PKDJ","4","Seems to help gum sensitivity but is a little expensive in my opinion.",,,,,"3 people found this helpful","Helps with sensitivity.","https://www.amazon.com/gp/customer-reviews/RO3VBCNMU7KIO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on January 5, 2023",""
"United States",,"2023-02-07","true","6","B095Z5PKDJ","5","Best toothpaste.  Ever",,,,,"One person found this helpful","Sensitive teath","https://www.amazon.com/gp/customer-reviews/R336E3HOCP5QEY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on February 7, 2023",""
"United States",,"2022-04-22","true","7","B095Z5PKDJ","5","I originally got a four pack of these in 2021 for free. After sharing half of it with my friend and trying it for a year, I bought another 4 pack when I ran out. The newest 4 pack I just bought has an expiry date of 9/2023, so I have about a year and a half to use them up. Each tube is sealed with foil until you’re ready yo use it.I’ve been using sensodyn for over a decade now because my dentist had recommended it. Over the years, I’ve tried many different varieties and flavors. This tooth paste works well in keeping my teeth pain free for the most part, as long as I don’t overdo it with eating a ton of acidic foods. So daily bowl of fruit or occasional glass of white wine no longer cause tooth aches.The one big difference between this and the other sensodyn varieties I’ve tried in the past is the foam texture. It’s not super foaming like some gel toothpastes, and actually almost coagulates into little wisps of more solid texture as you brush, which I thought was weird and took a little time to get used to. However, this cleans pretty well combined with my electric toothbrush and I’ve been very happy with it overall, as evidenced by my repurchase.","https://m.media-amazon.com/images/I/515RL2ufFOL._SY88.jpg","https://m.media-amazon.com/images/I/61tb5hTI96L._SY88.jpg",,,"14 people found this helpful","Toothpaste for sensitive teeth","https://www.amazon.com/gp/customer-reviews/R21BIUB65IUGRS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on April 22, 2022",""
"United States",,"2022-11-15","true","8","B095Z5PKDJ","4","Sensodyne toothpaste, OK but quick release is better! I figured stand within the Sensodyne family that they’re all the same but they’re not. The quick release action for very sensitive gum lines is better than this one, this one also has a funky flavor to it.",,,,,"2 people found this helpful","Sensodyne toothpaste, OK but quick release is better!","https://www.amazon.com/gp/customer-reviews/R358G12FPV6PJY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on November 15, 2022",""
"United States",,"2022-12-23","true","9","B095Z5PKDJ","4","Good taste",,,,,"","Whitens teeth","https://www.amazon.com/gp/customer-reviews/RLHGW1L4W6R8I/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on December 23, 2022",""
"United States",,"2022-12-02","true","10","B095Z5PKDJ","5","I’ve suffered from bleeding gums for almost my entire life. No matter how well I take care of my teeth and gums (and I’m an oral hygiene fanatic), my gums would bleed whenever I brushed and flossed. I’ve tried several recommended gum toothpastes but none worked. I’ve always liked Sensodyne so when I saw they had a gum sensitivity option I figured I’d give it a go. Stopped my persistent gum bleeding within a week. Like a miracle!",,,,,"9 people found this helpful","Helps with bleeding gums when nothing else will…","https://www.amazon.com/gp/customer-reviews/R2KBDKVJL7BSIP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States on December 2, 2022",""
"United States","🇺🇸","2022-11-07","true","21","B095Z5PKDJ","5","I have extremely sensitive teeth.  My dentist recommended this and I have been using it for years.  It works.  I will never switch.",,,,,"One person found this helpful","Been using for years for sensitive teeth","https://www.amazon.com/gp/customer-reviews/R80QU0HLSAVQI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on November 7, 2022",""
"United States","🇺🇸","2022-12-06","true","22","B095Z5PKDJ","5","Wish it would help with whiteness",,,,,"","Help my gims","https://www.amazon.com/gp/customer-reviews/R2X1Y5N5LBCG3E/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on December 6, 2022",""
"United States","🇺🇸","2023-04-19","true","23","B095Z5PKDJ","2","I bought this four pack a while back. The first tube I used was great. The toothpaste was white, worked well. The other four though?The toothpaste came out brownish white in color. All three tubes. All with the same expiration date (March, 2024).I don't know what happened, but I do know I just don't trust buying this at Amazon again. I'll buy it locally.",,,,,"","First tube was great and then...not so much","https://www.amazon.com/gp/customer-reviews/R355CLXH3HXHQX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on April 19, 2023",""
"United States","🇺🇸","2022-11-12","true","24","B095Z5PKDJ","5","Great value for the quantity. Works great.",,,,,"","Great value.","https://www.amazon.com/gp/customer-reviews/R3507G0AKHY580/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on November 12, 2022",""
"United States","🇺🇸","2022-06-16","true","25","B095Z5PKDJ","4","My teeth are still sensotive and I've been using this for years, dentist recommended. I have to think they'd be much more so, if I didn't use it. It's getting too pricey to use, however.",,,,,"4 people found this helpful","Helps with sensitive teeth","https://www.amazon.com/gp/customer-reviews/R322XG3YFE9GSH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on June 16, 2022",""
"United States","🇺🇸","2022-10-29","true","26","B095Z5PKDJ","5","Recommend by my periodontist for sensitive gums. Felt better after one day. Good product.",,,,,"","It works","https://www.amazon.com/gp/customer-reviews/R2GWEO7KSJ2QHI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on October 29, 2022",""
"United States","🇺🇸","2022-10-17","true","27","B095Z5PKDJ","5","I have very sensitive teeth, so Sensodyne is perfect for me and this pack last me a really long time!",,,,,"","Long lasting!","https://www.amazon.com/gp/customer-reviews/R1OG4T01ASE0RC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on October 17, 2022",""
"United States","🇺🇸","2022-11-20","true","28","B095Z5PKDJ","5","Excelente",,,,,"","Excelente","https://www.amazon.com/gp/customer-reviews/R2QYHHNNZPDWHR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on November 20, 2022",""
"United States","🇺🇸","2022-07-29","true","29","B095Z5PKDJ","4","I like how it manange my sensitivity and gum",,,,,"2 people found this helpful","Worked well on teeth gum","https://www.amazon.com/gp/customer-reviews/R3FYGSCDZNSTFC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on July 29, 2022",""
"United States","🇺🇸","2022-10-11","true","30","B095Z5PKDJ","5","I brush my teeth with this product and love the results.",,,,,"One person found this helpful","Great dental product","https://www.amazon.com/gp/customer-reviews/RNXTXJJE5LT0A/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on October 11, 2022",""
"United States","🇺🇸","2022-12-23","false","91","B095Z5PKDJ","5","I use this toothpaste all the time and is great for gum irritation. I highly recommend it.",,,,,"","Good Toothpaste","https://www.amazon.com/gp/customer-reviews/RR51BYWBCCTPT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on December 23, 2022",""
"United States","🇺🇸","2022-12-17","false","92","B095Z5PKDJ","5","Excelente producto",,,,,"","Muy buena, la recomiendo","https://www.amazon.com/gp/customer-reviews/R17E54TQEPSA6Z/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on December 17, 2022",""
"United States","🇺🇸","2022-12-04","false","93","B095Z5PKDJ","5","Still worth it though. I like that this version isn’t so minty; the mint version is too strong. The best protection for sensitive teeth and gums!",,,,,"","I got a good deal on these, but without the deal they’re expensive","https://www.amazon.com/gp/customer-reviews/R1M2ZLBCAAQB8U/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z5PKDJ","Reviewed in the United States 🇺🇸 on December 4, 2022",""
