"country","countryCode","date","isVerified","position","productAsin","ratingScore","reviewDescription","reviewImages/0","reviewImages/1","reviewReaction","reviewTitle","reviewUrl","reviewedIn","variant"
"United States","🇺🇸","2023-03-29","true","1","B07YXDVT9W","5","After trying more brands of toothpaste for sensitive teeth than I can count (including the original Sensodyne), I came across the Repair and Protect version last year. And I have happily gone a whole year without painful teeth and with good dental checkups, too! But I noticed that my teeth were showing more tea stains than ever before. I didn't want to give up my Repair and Protect toothpaste but finally decided to check for whitening toothpaste that protected teeth. I was so happy to find that I can get my favorite toothpaste with whitening! I've only been using it for a few days, but I can already see a difference. Note that it has a rougher, more pasty feel in the mouth (probably from the silica) than the non-whitening variety. This was disconcerting the first few times, but now I'm used to it. And I'm very happy with my whiter teeth.",,,"2 people found this helpful","Eliminates sensitivity and whitens teeth!","https://www.amazon.com/gp/customer-reviews/R1VBSJXQEQZFX8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07YXDVT9W","Reviewed in the United States 🇺🇸 on March 29, 2023","Flavor Name: WhiteningSize: 3.4 Ounce (Pack of 2)"
"United States","🇺🇸","2023-04-18","true","2","B07YXDVT9W","5","This toothpaste is very good. I have always used this toothpaste because my teeth are not very good. I used to have toothaches very often. When I rinse my mouth with cold water, my teeth hurt. After using this toothpaste, my teeth will not  be so sensitive",,,"","A recommended toothpaste","https://www.amazon.com/gp/customer-reviews/R14I4FD5JPM8RX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07YXDVT9W","Reviewed in the United States 🇺🇸 on April 18, 2023","Flavor Name: WhiteningSize: 3.4 Ounce (Pack of 3)"
"United States","🇺🇸","2023-04-12","true","3","B07YXDVT9W","5","I have been using Sensodyne for over seven years and have seen a significant improvement to the appearance of my pearly whites, gums and overall oral hygiene. It’s the only product I exclusively use everyday!",,,"","Whitens and refreshing good oral Sensodyne product!","https://www.amazon.com/gp/customer-reviews/RSR0CBGIGSFPF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07YXDVT9W","Reviewed in the United States 🇺🇸 on April 12, 2023","Flavor Name: MintSize: 3.4 Ounce"
"United States","🇺🇸","2023-04-18","true","4","B07YXDVT9W","5","This is the best price we could find and it’s what the wife wants.. win/win",,,"","Better price than anywhere","https://www.amazon.com/gp/customer-reviews/R3J6HXPFWS20XS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07YXDVT9W","Reviewed in the United States 🇺🇸 on April 18, 2023","Flavor Name: WhiteningSize: 3.4 Ounce (Pack of 2)"
"United States","🇺🇸","2023-04-17","true","5","B07YXDVT9W","5","No pain from sensitivity",,,"","Love this product","https://www.amazon.com/gp/customer-reviews/RMYU5TZAH5PMK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07YXDVT9W","Reviewed in the United States 🇺🇸 on April 17, 2023","Flavor Name: WhiteningSize: 3.4 Ounce (Pack of 2)"
"United States","🇺🇸","2023-04-10","true","6","B07YXDVT9W","5","Works great and I have sensitive teeth.",,,"","Great","https://www.amazon.com/gp/customer-reviews/R1BHNPPUZSVFFK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07YXDVT9W","Reviewed in the United States 🇺🇸 on April 10, 2023","Flavor Name: WhiteningSize: 3.4 Ounce (Pack of 2)"
"United States","🇺🇸","2023-03-22","true","7","B07YXDVT9W","5","I use Sensodyne products religiously.  The dentist tells me whatever I am doing keep it up!Try the Sensodyn Rapid relief for pain, it works!",,,"","Great product that delivers","https://www.amazon.com/gp/customer-reviews/RKDGB32DJ8EGF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07YXDVT9W","Reviewed in the United States 🇺🇸 on March 22, 2023","Flavor Name: WhiteningSize: 3.4 Ounce (Pack of 2)"
"United States","🇺🇸","2023-03-22","true","8","B07YXDVT9W","5","Ever since using sensodyne, other toothpaste makes my teeth extremely sensitive. I keep coming back to it & I love it!",,,"","Favorite toothpaste","https://www.amazon.com/gp/customer-reviews/R2CKFPC4KDI003/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07YXDVT9W","Reviewed in the United States 🇺🇸 on March 22, 2023","Flavor Name: WhiteningSize: 3.4 Ounce (Pack of 3)"
"United States","🇺🇸","2023-03-05","true","9","B07YXDVT9W","5","I liked that it does a good job of brushing your teeth.  I disliked the fact that when you are eating hot food like corn on cob your teeth still hurt and it’s not supposed to hurt, you are paying more for it so it shouldn’t hurt.",,,"One person found this helpful","It tastes good and refreshing.","https://www.amazon.com/gp/customer-reviews/R3VISUCQQ17XI5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07YXDVT9W","Reviewed in the United States 🇺🇸 on March 5, 2023","Flavor Name: WhiteningSize: 3.4 Ounce (Pack of 2)"
"United States","🇺🇸","2023-03-31","true","10","B07YXDVT9W","5","Fresh taste...good product.",,,"","Good product. Fresh","https://www.amazon.com/gp/customer-reviews/R3NVXJV3VRKDBH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07YXDVT9W","Reviewed in the United States 🇺🇸 on March 31, 2023","Flavor Name: WhiteningSize: 3.4 Ounce (Pack of 2)"
"United States","🇺🇸","2022-12-14","true","71","B07YXDVT9W","5","I've always used sensodyne toothpaste. Been using it for years and I still continue to repurchase.",,,"","Great product","https://www.amazon.com/gp/customer-reviews/R33ZZBXF1359UN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07YXDVT9W","Reviewed in the United States 🇺🇸 on December 14, 2022","Flavor Name: WhiteningSize: 3.4 Ounce (Pack of 3)"
"United States","🇺🇸","2022-12-30","true","72","B07YXDVT9W","5","It's what I ordered.","https://m.media-amazon.com/images/I/81nvTIn7qvL._SY88.jpg",,"","Toothpaste with fluoride","https://www.amazon.com/gp/customer-reviews/R1G7DDIJWN5RP1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07YXDVT9W","Reviewed in the United States 🇺🇸 on December 30, 2022","Flavor Name: WhiteningSize: 3.4 Ounce (Pack of 3)"
"United States","🇺🇸","2022-12-14","true","73","B07YXDVT9W","5","Good toothpaste and the size is perfect for my carry on when traveling.",,,"","Great for sensitive gums.","https://www.amazon.com/gp/customer-reviews/R3J715N5FWFVJ4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07YXDVT9W","Reviewed in the United States 🇺🇸 on December 14, 2022","Flavor Name: WhiteningSize: 3.4 Ounce (Pack of 2)"
