"country","countryCode","date","isVerified","position","productAsin","ratingScore","reviewDescription","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewReaction","reviewTitle","reviewUrl","reviewedIn","variant"
"United States",,"2023-04-16","true","1","B0762PS6DN","5","I just got a fulI mouth restoration, all new veneers and crowns and some of them are still sensitive to the cold. I prefer Sensodyne over the Colgate sensitive toothpaste that my dentist gave me. It tastes better and really does reduce the sensitivity.",,,,,,"","Great for sensitive teeth","https://www.amazon.com/gp/customer-reviews/R3D67HNELWMYIE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on April 16, 2023",""
"United States",,"2023-04-15","true","2","B0762PS6DN","4","Have been using Sensodyne for a few years now.  I prefer the traditional variety (no whiteners, no extra flavor).  Works for the purpose intended.",,,,,,"","Mild flavor, recommended by dentists","https://www.amazon.com/gp/customer-reviews/R31N96G886ZMF6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on April 15, 2023",""
"United States",,"2023-02-14","true","3","B0762PS6DN","5","Excellent toothpaste- especially if you have sensitive teeth.  For me, I only use the mint flavor.  It is very refreshing!  I found it difficult to find in my local stores (in the mint flavor), and was very glad to find it on Amazon - speedy delivery, too!",,,,,,"","Excellent toothpaste!!","https://www.amazon.com/gp/customer-reviews/R2UM4D58TS2D5Z/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on February 14, 2023",""
"United States",,"2023-03-09","true","4","B0762PS6DN","5","Hard to fine this flavor around here.",,,,,,"","Arrived exactly as pictured.","https://www.amazon.com/gp/customer-reviews/R127WIOX6RWC2X/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on March 9, 2023",""
"United States",,"2023-03-04","true","5","B0762PS6DN","5","This is a very good product and it seems to do what it says.",,,,,,"","Good stuff you need","https://www.amazon.com/gp/customer-reviews/R32LN0QBS4SJQ9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on March 4, 2023",""
"United States",,"2023-02-12","true","6","B0762PS6DN","5","I was surprised at how effected it is keeping my breath fresh. No strange aftertaste or gritty leftover particles. It goes on, cleans and comes right off leaving my mouth feeling good. Whitening is a bonus.",,,,,,"","Clean fresh mouth.","https://www.amazon.com/gp/customer-reviews/RE98959X34N8N/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on February 12, 2023",""
"United States",,"2023-02-24","true","7","B0762PS6DN","5","Needed an Upgraded in the toothpaste game, and I happily chose the this choice of toothpaste.",,,,,,"","ProNamel","https://www.amazon.com/gp/customer-reviews/R1H44VTW110N1L/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on February 24, 2023",""
"United States",,"2022-09-02","true","8","B0762PS6DN","4","I finally ran out of my stock of Sensodyne Mint Essence (kept buying all the ones I could find on shelves when I stumbled upon them, too few sadly) and couldn't find anymore on the shelves of less traveled stores now. Really wish Sensodyne wouldn't have discontinued Mint Essence. Bought this item to try since the description said it was ""Mint Essence"" but it's not. It's probably the closest that Sensodyne makes now to what used to be their Mint Essence product but it just doesn't taste as good and is not quite the same mouthfeel. But it's close. I don't like any other toothpastes that I've tried so I'll stick with it. The price for this combo is good compared to local store pricing. Can't say that it whitens your teeth anymore than any other product out there but I buy Sensodyne for the teeth sensitivity aspect and the better taste and feel than other brands. Giving it 4 stars only because Mint Essence was better, but this is still the best toothpaste product of what is currently available, in my opinion.",,,,,,"4 people found this helpful","Good but NOT Mint Essence","https://www.amazon.com/gp/customer-reviews/R3DZABZ0RP2H3A/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on September 2, 2022",""
"United States",,"2022-12-30","true","9","B0762PS6DN","5","I was out of toothpaste, and I know flouride free toothpaste don't work well for me, so I got sensodyne because I've had sensodyne before and I was use to it.I don't like Crest toothpaste I've tried, because the kinds of that brand I've tried make my lower lip filmy? This toothpaste doesn't do that so I like this toothpaste.",,,,,,"One person found this helpful","Good tooth paste!","https://www.amazon.com/gp/customer-reviews/R1UPVEQCHOQED5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on December 30, 2022",""
"United States",,"2023-02-06","true","10","B0762PS6DN","5","Dumb question.  To clean my teeth!",,,,,,"","My dentist recommend I use this product.","https://www.amazon.com/gp/customer-reviews/R2KKJSU1TSLHG8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States on February 6, 2023",""
"United States","🇺🇸","2019-07-12","true","391","B0762PS6DN","5","Good stuff but its pricey.",,,,,,"","Its toothpaste","https://www.amazon.com/gp/customer-reviews/R1P4TERY3G59VC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on July 12, 2019",""
"United States","🇺🇸","2019-12-04","true","392","B0762PS6DN","5","Excellent product",,,,,,"","👍🏻👍🏻👍🏻","https://www.amazon.com/gp/customer-reviews/R2G25D18TQE8PR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on December 4, 2019",""
"United States","🇺🇸","2019-08-08","true","393","B0762PS6DN","3","It’s ok",,,,,,"","Ok","https://www.amazon.com/gp/customer-reviews/R2CZW46J1IFRHD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on August 8, 2019",""
"United States","🇺🇸","2019-04-08","true","394","B0762PS6DN","3","Very small for the $$$$",,,,,,"","Won’t buy again on amazon","https://www.amazon.com/gp/customer-reviews/RL3VFVJQAQ1GO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on April 8, 2019",""
"United States","🇺🇸","2018-12-14","true","395","B0762PS6DN","5","Nice product. So recommend for family to use",,,,,,"","Nice product","https://www.amazon.com/gp/customer-reviews/RO09ETEUXPLYB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on December 14, 2018",""
"United States","🇺🇸","2019-10-09","true","396","B0762PS6DN","5","Excellent product",,,,,,"","Excellent","https://www.amazon.com/gp/customer-reviews/R2SHF8N4I7Y6EV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on October 9, 2019",""
"United States","🇺🇸","2019-05-14","true","397","B0762PS6DN","5","Great product! Will buy again!!!",,,,,,"","Worth the price!!!","https://www.amazon.com/gp/customer-reviews/R1BWGVH9H8U48Q/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0762PS6DN","Reviewed in the United States 🇺🇸 on May 14, 2019",""
