"country","countryCode","date","isVerified","position","productAsin","ratingScore","reviewDescription","reviewImages/0","reviewImages/1","reviewImages/2","reviewReaction","reviewTitle","reviewUrl","reviewedIn","variant"
"United States",,"2023-03-14","true","1","B095Z6SVNB","5","My dentist said to get this for some issues I'm having with sensitivity on a few teeth, and it worked almost instantly, woohoo!! However, nobody in the house really loves the flavor. It's not a bad flavor, but it's so mild and it's not very refreshing.FYI the dentist also told me that if you stop using it you will go back to having tooth sensitivity. She said it doesn't have a long-term effect, so you have to use it every time you brush. Still worth it though!",,,,"3 people found this helpful","It. WORKS","https://www.amazon.com/gp/customer-reviews/R3DK2LFODWY1VY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z6SVNB","Reviewed in the United States on March 14, 2023",""
"United States",,"2023-04-08","true","2","B095Z6SVNB","4","Between the taste, fell, and protection, I'll never go to another.These tubes were smaller than I expected, so check size.Timely delivery",,,,"","Best toothpaste","https://www.amazon.com/gp/customer-reviews/R2BHSV3FX8PUDT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z6SVNB","Reviewed in the United States on April 8, 2023",""
"United States",,"2023-04-06","true","3","B095Z6SVNB","5","Great value for the price point",,,,"","Good value","https://www.amazon.com/gp/customer-reviews/R1F00LZRKT55HD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z6SVNB","Reviewed in the United States on April 6, 2023",""
"United States",,"2023-03-29","true","4","B095Z6SVNB","5","I can do it with the price!",,,,"One person found this helpful","It works price and product!","https://www.amazon.com/gp/customer-reviews/R398ME21NGI30D/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z6SVNB","Reviewed in the United States on March 29, 2023",""
"United States",,"2023-03-13","true","5","B095Z6SVNB","4","the bottle will twist when trying to get the cap to snap on. Making the last little bit I'm trying to save in the end go back to the middle. Annoying.",,,,"One person found this helpful","cap is hard to get back on","https://www.amazon.com/gp/customer-reviews/ROPGMDB1SGPII/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z6SVNB","Reviewed in the United States on March 13, 2023",""
"United States",,"2023-03-11","true","6","B095Z6SVNB","5","I really like this toothpaste because it’s good for my sensitive teeth and it works well for keeping my teeth strong.",,,,"","Great toothpaste for sensitive teeth!","https://www.amazon.com/gp/customer-reviews/R2MQH12WKXEJM7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z6SVNB","Reviewed in the United States on March 11, 2023",""
"United States",,"2023-03-06","true","7","B095Z6SVNB","5","Excelente, llego en menos de 12 horas 👏👏👏Fue una entrega casi instantánea",,,,"One person found this helpful","Entrega súper rapida","https://www.amazon.com/gp/customer-reviews/R24ZCP5ZQWOGHZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z6SVNB","Reviewed in the United States on March 6, 2023",""
"United States",,"2023-02-28","true","8","B095Z6SVNB","5","Dentist recommended and I like it.  Little pricey, but cheaper at Amazon than anywhere else I've found.",,,,"2 people found this helpful","Very good toothpaste","https://www.amazon.com/gp/customer-reviews/R1CLFS59BAYSVL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z6SVNB","Reviewed in the United States on February 28, 2023",""
"United States",,"2023-02-24","true","9","B095Z6SVNB","5","very happy with the product.  My husband wanted me to buy a tube and I surprised him with a whole bunch.",,,,"One person found this helpful","great price for a great product","https://www.amazon.com/gp/customer-reviews/R196CBWXWN11RV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z6SVNB","Reviewed in the United States on February 24, 2023",""
"United States",,"2022-07-29","true","10","B095Z6SVNB","5","In the last year and a half I've gone on a toothpaste journey trying to find something that works and tastes good.For years I went back and forth from Colgate Advanced Whitening to Optic White, but they kind of hurt my teeth and tasted unpleasantly chemical. My mom had given me a couple travel size Sensodyne products from her dentist and I liked them but maybe there was something else out there I'd also like.I tried a Tom's of Maine charcoal whitening before realizing that was owned by Colgate too. I was paying a company that was capable of making a toothpaste that didn't hurt to use, but at a slightly premium price compared to their other brands/products. That felt scummy, so I went to Burt's Bees charcoal whitening variety. I was half way through my second tube and liked it for the flavor and price but I developed a sensitivity. It was basically causing a chemical type burn or irritation on and around my lips. It quickly got pretty bad. Inflamed, peeling, pain. Thanks sensitive skin!I gave the rest of my Burt's tube to a friend and bought Sensodyne's charcoal variety. It looks like a horror movie when brushing your teeth. That stuff is jet black and doesn't foam up white or even grey. Unfortunately it doesn't even taste that great either. I've read conflicting reports about the abrasiveness of charcoal in toothpaste on teeth so I was ready to switch again.This 4 pack went on sale during prime day, making it cheaper than at Costco per oz, so I was thrilled to buy and try. I've actually been enjoying brushing instead of it being a chore. No funky grey or black color in my mouth from charcoal. No chemical aftertaste. So far so good and I guess I should have just stuck with Sensodyne this whole time because it works.",,,,"17 people found this helpful","Fresh and Clean","https://www.amazon.com/gp/customer-reviews/R1MA1HD58RPGE0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B095Z6SVNB","Reviewed in the United States on July 29, 2022",""
