"country","countryCode","date","isVerified","position","productAsin","ratingScore","reviewDescription","reviewImages/0","reviewImages/1","reviewReaction","reviewTitle","reviewUrl","reviewedIn","variant"
"United States","🇺🇸","2023-03-23","true","1","B01NGT7OG5","4","The tooth paste really cleans and whitens, but does it scratch the enamel too? I am wondering if it includes the new technology using nano plastic particles to eliminate the stains. For that reason, I use it sparely and thoroughly rinse the mouth afterwards.",,,"","Whitening, But does it damage the teeth?","https://www.amazon.com/gp/customer-reviews/R1PL9ECFUBJW41/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01NGT7OG5","Reviewed in the United States 🇺🇸 on March 23, 2023",""
"United States","🇺🇸","2023-03-11","true","2","B01NGT7OG5","5","Easy on the teeth and makes me smile after every brush",,,"","Sensitive teeth, must try","https://www.amazon.com/gp/customer-reviews/R1Z9MT6A0EMQP7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01NGT7OG5","Reviewed in the United States 🇺🇸 on March 11, 2023",""
"United States","🇺🇸","2023-02-14","true","3","B01NGT7OG5","4","My gums were becoming painful. My dentist suggested Sensodyne and it relieves the pain.",,,"","Gentle on my teeth and gums","https://www.amazon.com/gp/customer-reviews/R1R7LNU93HDMRM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01NGT7OG5","Reviewed in the United States 🇺🇸 on February 14, 2023",""
"United States","🇺🇸","2023-01-03","true","4","B01NGT7OG5","5","Good for the price.",,,"","Good","https://www.amazon.com/gp/customer-reviews/RSUHCZ2YER00/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01NGT7OG5","Reviewed in the United States 🇺🇸 on January 3, 2023",""
"United States","🇺🇸","2022-10-19","true","5","B01NGT7OG5","5","Tastes better then the original extra whitening toothpaste. Leaves your mouth feeling minty fresh!",,,"","Great tooth paste","https://www.amazon.com/gp/customer-reviews/RKE1K0ZNK883E/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01NGT7OG5","Reviewed in the United States 🇺🇸 on October 19, 2022",""
"United States","🇺🇸","2022-07-19","true","6","B01NGT7OG5","5","My dentist recommended this toothpaste to me several years ago, and I've been using it ever since.  It really helped with my sensitive teeth and gums and the taste is nice and minty, not strong.  I can't speak much to the whitening factor.  I don't really see a difference there.",,,"","Love the way it's helped me with my sensitive teeth!","https://www.amazon.com/gp/customer-reviews/R10XEQHGLZK9P1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01NGT7OG5","Reviewed in the United States 🇺🇸 on July 19, 2022",""
"United States","🇺🇸","2022-10-03","true","7","B01NGT7OG5","5","One of the few toothpastes that are a gel, most are pastes.",,,"2 people found this helpful","Hard to find in store","https://www.amazon.com/gp/customer-reviews/RWI4HKIE8ZV64/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01NGT7OG5","Reviewed in the United States 🇺🇸 on October 3, 2022",""
"United States","🇺🇸","2022-08-07","true","8","B01NGT7OG5","5","I have been using Sensodyne products for many years.  My teeth stain and the deep clean works to help remove the stains and whitens my teeth",,,"One person found this helpful","It really works to clean and whiten!","https://www.amazon.com/gp/customer-reviews/R230NIZDET0U7H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01NGT7OG5","Reviewed in the United States 🇺🇸 on August 7, 2022",""
"United States","🇺🇸","2022-03-14","true","9","B01NGT7OG5","4","I used this for about a year, and then I was able to go back to regular Crest. I would buy again if I had to.",,,"One person found this helpful","Helps with sensitivity!!!","https://www.amazon.com/gp/customer-reviews/R1MEXZ1M5CFQRR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01NGT7OG5","Reviewed in the United States 🇺🇸 on March 14, 2022",""
"United States","🇺🇸","2022-08-23","true","10","B01NGT7OG5","5","Good price & size. Product as described.",,,"","Best toothpaste for sensitive teeth.","https://www.amazon.com/gp/customer-reviews/R222ADPACQWRK7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01NGT7OG5","Reviewed in the United States 🇺🇸 on August 23, 2022",""
"United States",,"2020-04-23","true","271","B01NGT7OG5","5","Great for sensitive teeth, refreshing taste.",,,"","Great for Sensitive Teeth","https://www.amazon.com/gp/customer-reviews/R2WPQLJ1ESXEXY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01NGT7OG5","Reviewed in the United States on April 23, 2020",""
"United States",,"2022-10-22","true","272","B01NGT7OG5","5","This is a more awesome toothpaste than I thought it would be! My dentist recommended it and I got it, but I wasn't expecting much... WOW!! I'll continue to order this!!!",,,"","Awesome Taste & Results!","https://www.amazon.com/gp/customer-reviews/R3SOENK06J1O5S/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01NGT7OG5","Reviewed in the United States on October 22, 2022",""
"United States",,"2020-01-13","true","273","B01NGT7OG5","5","The box was opened and the toothpaste box was smashed and I don’t know if the toothpaste was tampered with?",,,"","Great sensitive toothpaste","https://www.amazon.com/gp/customer-reviews/R1BWDE6CGADHNE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01NGT7OG5","Reviewed in the United States on January 13, 2020",""
"United States",,"2022-06-18","true","274","B01NGT7OG5","5","Is a great product!",,,"One person found this helpful","Great toothpaste!!","https://www.amazon.com/gp/customer-reviews/R3VEXRQ8HQ2L9T/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01NGT7OG5","Reviewed in the United States on June 18, 2022",""
"United States",,"2020-05-15","true","275","B01NGT7OG5","5","Sensodyne Works Great!!",,,"","Sensodyne","https://www.amazon.com/gp/customer-reviews/RJBL756C3XY6F/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01NGT7OG5","Reviewed in the United States on May 15, 2020",""
"United States",,"2023-01-07","false","276","B01NGT7OG5","5","I chose this brand and type up in enouragment from my dentist. I have, or rather had a receding gumline. I have been using for over 1½ years; not only dors my mouth feel great and fresh, my teeth and gums no longer hurt or give me problems.",,,"","Cleans well","https://www.amazon.com/gp/customer-reviews/R11KXCK3I9OLMS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01NGT7OG5","Reviewed in the United States on January 7, 2023",""
"United States",,"2020-09-27","true","277","B01NGT7OG5","1","It came with a broken safety seal. Don’t buy. I like this brand but this product is not good. Not trustworthy. Also, the cap was stained as it was old. 😕",,,"One person found this helpful","Broken safety seal","https://www.amazon.com/gp/customer-reviews/R1L04UP700T67B/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01NGT7OG5","Reviewed in the United States on September 27, 2020",""
"Singapore",,"2020-07-02","true","278","B01NGT7OG5","5","Fast delivery and relable product. Strongly recomment this supplier",,,"","Sensodyne Toothpaste",,"Reviewed in Singapore on July 2, 2020",""
"United States","🇺🇸","2019-05-07","true","81","B01NGT7OG5","5","It's very good for a thrifty shopper like me. And it's gentle on my teeth and I don't get cold pangs in my teeth or brain freezes either. Praise the Lord!",,,"","The item is my price","https://www.amazon.com/gp/customer-reviews/RT3R7B960YPMK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01NGT7OG5","Reviewed in the United States 🇺🇸 on May 7, 2019",""
"United States","🇺🇸","2021-02-22","true","82","B01NGT7OG5","5","Love the flavor",,,"","Great","https://www.amazon.com/gp/customer-reviews/R203Y1YTPK70P9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01NGT7OG5","Reviewed in the United States 🇺🇸 on February 22, 2021",""
"United States","🇺🇸","2021-03-11","true","83","B01NGT7OG5","5","clean teeth",,,"","teeth","https://www.amazon.com/gp/customer-reviews/ROQ2RTJU4S89Z/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01NGT7OG5","Reviewed in the United States 🇺🇸 on March 11, 2021",""
"United States","🇺🇸","2020-11-20","true","84","B01NGT7OG5","5","Works very well on my teeth!",,,"","Sensodyne  Deep Cleaning Toothpaste","https://www.amazon.com/gp/customer-reviews/R1A99TJLCM9EKM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01NGT7OG5","Reviewed in the United States 🇺🇸 on November 20, 2020",""
"United States","🇺🇸","2020-07-26","true","85","B01NGT7OG5","5","It's so fresh and with it I always forget my sensitive teeth",,,"","Love the fresh gel","https://www.amazon.com/gp/customer-reviews/R5L3XQEKLFQ6S/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01NGT7OG5","Reviewed in the United States 🇺🇸 on July 26, 2020",""
"United States","🇺🇸","2018-01-23","true","86","B01NGT7OG5","2","This product caused my mouth to peel after brushing. All day long my cheek and mouth tissue will slough off, and it's disgusting and embarrassing. This happens with a large number of toothpastes, and it's kind of a crapshoot--more often a gel than a paste (and I've tried SLS free and all the other hippie things). The taste isn't that great. I find it to be kind of acidic and it burns my tongue if I have a crack (I have geographic tongue). I don't feel like it keeps my mouth minty fresh for very long at all. I much prefer a paste to the gel. This product is a fail for me, and I'll be tossing out a nearly full tube.",,,"One person found this helpful","In the garbage along with my cheek tissue","https://www.amazon.com/gp/customer-reviews/R2SN5P9LEZU0HY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01NGT7OG5","Reviewed in the United States 🇺🇸 on January 23, 2018",""
"United States","🇺🇸","2020-04-17","true","87","B01NGT7OG5","5","I have been using for a long time and really like the impact on my sensitive teeth.",,,"","Love the impact on sensitive tooth","https://www.amazon.com/gp/customer-reviews/R3FQEAFC45DVSN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01NGT7OG5","Reviewed in the United States 🇺🇸 on April 17, 2020",""
"United States","🇺🇸","2020-08-01","true","88","B01NGT7OG5","5","Super fast shipping and it’s, well, toothpaste lol what i wanted",,,"","It’s toothpaste! Lol just what i was looking for","https://www.amazon.com/gp/customer-reviews/R37J14MQLL7OYA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01NGT7OG5","Reviewed in the United States 🇺🇸 on August 1, 2020",""
"United States","🇺🇸","2018-04-27","true","89","B01NGT7OG5","5","This is the best Sensodyne toothpaste I’ve ever used. It may be the best of any brand of toothpaste I ever used. It cleans the vertical lines on the back sides of my front teeth. I love it!",,,"","This is the best Sensodyne toothpaste I’ve ever used","https://www.amazon.com/gp/customer-reviews/R1H9EGC3GRX3QX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01NGT7OG5","Reviewed in the United States 🇺🇸 on April 27, 2018",""
"United States","🇺🇸","2018-03-15","true","90","B01NGT7OG5","4","Effective. Fresh scent lingers for a while. Teeth do seem a little less sensitive since I started using this product months ago.",,,"","Effective. Fresh scent lingers for a while. Teeth ...","https://www.amazon.com/gp/customer-reviews/RDCCHS1D73JHV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01NGT7OG5","Reviewed in the United States 🇺🇸 on March 15, 2018",""
"United States",,"2020-03-02","true","131","B01NGT7OG5","5","This is my fav flavor",,,"","Good buy","https://www.amazon.com/gp/customer-reviews/RGJ61DHLNHEX9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01NGT7OG5","Reviewed in the United States on March 2, 2020",""
